01/01/2021 00:00:00 0.5
01/01/2021 00:01:00 0.5
01/01/2021 00:02:00 0.5
01/01/2021 00:03:00 0.5
01/01/2021 00:04:00 0.5
01/01/2021 00:05:00 1.0
01/01/2021 00:06:00 1.0
01/01/2021 00:07:00 1.0
01/01/2021 00:08:00 1.0
01/01/2021 00:09:00 1.0
01/01/2021 00:10:00 1.0
01/01/2021 00:11:00 2.0
01/01/2021 00:12:00 2.0
01/01/2021 00:13:00 2.0
01/01/2021 00:14:00 2.0
01/01/2021 00:14:10 2.0
01/01/2021 00:14:15 2.0
01/01/2021 00:15:25 3.0
01/01/2021 00:24:25 3.0
01/01/2021 00:24:26 3.0
01/01/2021 00:24:27 3.0
